sector,price,super_area,bedrooms,bathroom,balcony,age_possession,servant_room,luxury_category,parking,building_type
jharsa,0.7,1278.0,2,2,2,1 to 5 year old,0,medium,1,low-rise
sohna,0.38,682.3525999999999,2,2,2,1 to 5 year old,0,medium,2,mid-rise
sector 71,1.35,1198.0,2,2,2,10+ year old,0,high,1,mid-rise
sector 82,3.4,3240.0,4,4,2,0 to 1 year old,1,medium,2,low-rise
sohna,0.95,1065.0,2,2,2,0 to 1 year old,0,low,1,low-rise
sector 89,1.26,1698.32,2,2,2,0 to 1 year old,0,medium,1,low-rise
sector 86,0.75,826.4399999999999,2,2,2,0 to 1 year old,0,low,0,mid-rise
sector 102,0.52,607.76,2,2,1,1 to 5 year old,0,low,0,mid-rise
sector 37d,2.0,1800.0,3,4,3,1 to 5 year old,1,medium,2,mid-rise
sector 68,0.99,865.0,2,1,2,under construction,0,medium,2,high-rise
sector 67,3.3,2010.0,3,3,3,5 to 10 year old,0,low,1,mid-rise
sector 67,3.3,2854.2,3,3,3,5 to 10 year old,1,medium,3,mid-rise
sector 106,1.15,1125.0,2,2,2,5 to 10 year old,0,medium,0,low-rise
sohna,0.42,921.425,2,2,2,5 to 10 year old,0,medium,2,mid-rise
sector 63a,0.95,819.9221999999999,2,2,1,0 to 1 year old,0,medium,0,mid-rise
sector-33 sohna,1.5,1093.0,3,2,3,1 to 5 year old,0,medium,1,low-rise
sector 68,1.6,1441.0,2,2,2,5 to 10 year old,0,medium,0,mid-rise
sector 70,2.75,2769.0,3,5,3,1 to 5 year old,1,medium,2,mid-rise
sector 69,0.85,746.92,2,2,1,1 to 5 year old,0,medium,0,mid-rise
sector 65,2.8,1928.36,3,3,0,under construction,0,medium,0,high-rise
sector 48,3.25,2574.46,3,3,3+,5 to 10 year old,1,medium,1,mid-rise
sector 37c,0.54,925.0,2,2,1,1 to 5 year old,0,medium,2,mid-rise
sector 37c,0.55,925.0,2,2,1,1 to 5 year old,0,medium,2,mid-rise
sohna,1.31,1512.5,3,2,3+,0 to 1 year old,0,low,1,low-rise
sector 37d,0.7,737.2924,2,2,3,1 to 5 year old,0,medium,2,mid-rise
