link,address,apartment_name,sector,price,price_sqft,super_area,bedrooms,bathroom,balcony,additional_rooms,age_possession,floor,floor_num,total_floors,furnishing_type,facing,num_parking,features,servant_room,study_room,pooja_room,store_room,luxury_score,luxury_category,parking
https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-jharsa-gurgaon-900-sq-ft-spid-H81480335,"Bharat Residency
Jharsa, Gurgaon",bharat residency,jharsa,0.7,5477.3,1278.0,2,2,2,Store Room,1 to 5 year old,Ground of 4 Floors,0,4,Semifurnished,na,1 Open,"['Security / Fire Alarm', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'No open drainage around', 'Park', 'Visitor Parking', 'Security Personnel', 'Spacious Interiors', 'Rain Water Harvesting']",0,0,0,1,21,medium,1
https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-gls-arawali-homes-sohna-gurgaon-481-sq-ft-spid-I81020045,"GLS Arawali Homes
Sohna, Gurgaon",gls arawali homes,sohna,0.38,5569.0,682.3525999999999,2,2,2,Others,1 to 5 year old,6th   of 13 Floors,6,13,Semifurnished,East,"1 Covered, 1 Open","['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']",0,0,0,0,35,medium,2
https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-chd-avenue-71-sector-71-gurgaon-1198-sq-ft-spid-R80810191,"CHD Avenue 71
Sector 71, Gurgaon",chd avenue 71,sector 71,1.35,11268.8,1198.0,2,2,2,,10+ year old,1st   of 14 Floors,1,14,Unfurnished,North,1 Covered,"['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",0,0,0,0,71,high,1
https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-sector-82-gurgaon-3240-sq-ft-spid-O81452033,"signature avenue
Sector 82, Gurgaon",signature avenue,sector 82,3.4,94444.4,360.0,4,4,2,"Pooja Room,Servant Room",0 to 1 year old,4th   of 4 Floors,4,4,Furnished,North-East,2 Covered,"['Power Back-up', 'Lift(s)', 'Water purifier', 'Water Storage', 'No open drainage around', 'Park', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']",1,0,1,0,28,medium,2
https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-signature-global-park-sohna-gurgaon-845-sq-ft-spid-X81479167,"Signature Global Park
Sohna, Gurgaon",signature global park,sohna,0.95,8920.2,1065.0,2,2,2,,0 to 1 year old,1st   of 4 Floors,1,4,Semifurnished,na,1 Covered,"['Lift(s)', 'Swimming Pool', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center']",0,0,0,0,18,low,1
https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-smart-world-gems-sector-89-gurgaon-1196-sq-ft-spid-H81479107,"Smart World Gems
Sector 89, Gurgaon",smart world gems,sector 89,1.26,7419.1,1698.32,2,2,2,,0 to 1 year old,1st   of 4 Floors,1,4,Unfurnished,na,1 Covered,"['Power Back-up', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Piped-gas', 'Fitness Centre / GYM', 'Club house / Community Center']",0,0,0,0,27,medium,1
https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-pyramid-elite-sector-86-gurgaon-582-sq-ft-spid-X81448305,"Pyramid Elite
Sector 86, Gurgaon",pyramid elite,sector 86,0.75,9075.1,826.4399999999999,2,2,2,,0 to 1 year old,11st   of 14 Floors,11,14,Unfurnished,na,,"['Power Back-up', 'Lift(s)', 'Park', 'Shopping Centre', 'Club house / Community Center']",0,0,0,0,14,low,0
https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-rof-aalayas-sector-102-gurgaon-482-sq-ft-spid-Y81475319,"ROF Aalayas
Sector 102, Gurgaon",rof aalayas,sector 102,0.52,8556.0,607.76,2,2,1,,1 to 5 year old,6th   of 14 Floors,6,14,Semifurnished,na,,"['Power Back-up', 'Intercom Facility', 'Lift(s)', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center']",0,0,0,0,19,low,0
https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-bptp-spacio-sector-37d-gurgaon-1800-sq-ft-spid-C81474611,"BPTP Spacio
Sector 37D, Gurgaon",bptp spacio,sector 37d,2.0,11111.1,1800.0,3,4,3,"Study Room,Servant Room",1 to 5 year old,1st   of 19 Floors,1,19,Semifurnished,na,"1 Covered, 1 Open","['Power Back-up', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Piped-gas', 'Fitness Centre / GYM', 'Club house / Community Center']",1,1,0,0,27,medium,2
https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-pareena-mi-casa-sector-68-gurgaon-865-sq-ft-spid-L81474117,"Pareena Mi Casa
Sector 68, Gurgaon",pareena mi casa,sector 68,0.99,11445.1,865.0,2,1,2,,under construction,23rd   of 25 Floors,23,25,Unfurnished,East,"1 Covered, 1 Open","['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Park', 'Piped-gas', 'Security Personnel', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']",0,0,0,0,36,medium,2
