link,price,super_area,area_units
https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-dlf-the-grove-dlf-phase-5-gurgaon-1380-sq-ft-spid-M80986585,7.4 Cr,182.2428,sq.m.
https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-godrej-aristocrat-sector-49-gurgaon-1001-sq-ft-r1-spid-C77281257,4.55 Cr,132.1452,sq.m.
https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-atrium-by-godrej-zenith-sector-89-gurgaon-1178-sq-ft-spid-I81181483,3.2 Cr,109.54,sq.m.
https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-godrej-aristocrat-sector-49-gurgaon-1940-sq-ft-spid-U79308375,6.9 Cr,256.2106,sq.m.
https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-sector-89-gurgaon-1217-sq-ft-spid-U80321145,4.15 Cr,160.744,sq.m.
https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-godrej-meridien-sector-106-gurgaon-1119-sq-ft-spid-M80829331,3 Cr,147.82199999999997,sq.m.
https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-godrej-meridien-sector-106-gurgaon-1107-sq-ft-spid-E80946821,2.9 Cr,146.2174,sq.m.
https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-godrej-meridien-sector-106-gurgaon-1107-sq-ft-spid-J80484889,2.8 Cr,146.2174,sq.m.
https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-dlf-the-grove-dlf-phase-5-gurgaon-2903-sq-ft-spid-K80986219,7.3 Cr,383.4,sq.m.
https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-godrej-aristocrat-sector-49-gurgaon-1566-sq-ft-spid-X81429829,4.7 Cr,247.07999999999998,sq.yards
https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-godrej-meridien-sector-106-gurgaon-816-sq-ft-spid-D80573627,2.05 Cr,107.8206,sq.m.
https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-godrej-meridien-sector-106-gurgaon-1655-sq-ft-r1-spid-B78319709,4.1 Cr,218.5948,sq.m.
https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-godrej-meridien-sector-106-gurgaon-1655-sq-ft-spid-C80297049,,,
https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-godrej-meridien-sector-106-gurgaon-1655-sq-ft-spid-Z79881771,4.05 Cr,218.5948,sq.m.
https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-godrej-meridien-sector-106-gurgaon-1024-sq-ft-spid-R79795877,2.5 Cr,135.2266,sq.m.
