,link,address,price,super_area,bedrooms,bathroom,balcony,additional_rooms,age_possession,floor,furnishing_type,facing,num_parking,features
0,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-jharsa-gurgaon-900-sq-ft-spid-H81480335,"Bharat Residency
Jharsa, Gurgaon",70 Lac,1278.0,2 Bedrooms,2 Bathrooms,2 Balconies,Store Room,1 to 5 Year Old,Ground of 4 Floors,Semifurnished,,1 Open,"['Security / Fire Alarm', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'No open drainage around', 'Park', 'Visitor Parking', 'Security Personnel', 'Spacious Interiors', 'Rain Water Harvesting']"
1,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-gls-arawali-homes-sohna-gurgaon-481-sq-ft-spid-I81020045,"GLS Arawali Homes
Sohna, Gurgaon",38 Lac,682.3525999999999,2 Bedrooms,2 Bathrooms,2 Balconies,Others,1 to 5 Year Old,6th   of 13 Floors,Semifurnished,East,"1 Covered, 1 Open","['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']"
2,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-chd-avenue-71-sector-71-gurgaon-1198-sq-ft-spid-R80810191,"CHD Avenue 71
Sector 71, Gurgaon",1.35 Cr,1198.0,2 Bedrooms,2 Bathrooms,2 Balconies,,10+ Year Old,1st   of 14 Floors,Unfurnished,North,1 Covered,"['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']"
3,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-sector-82-gurgaon-3240-sq-ft-spid-O81452033,"signature avenue
Sector 82, Gurgaon",3.4 Cr,360.0,4 Bedrooms,4 Bathrooms,2 Balconies,"Pooja Room,Servant Room",0 to 1 Year Old,4th   of 4 Floors,Furnished,North-East,2 Covered,"['Power Back-up', 'Lift(s)', 'Water purifier', 'Water Storage', 'No open drainage around', 'Park', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']"
4,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-signature-global-park-sohna-gurgaon-845-sq-ft-spid-X81479167,"Signature Global Park
Sohna, Gurgaon",95 Lac,1065.0,2 Bedrooms,2 Bathrooms,2 Balconies,,0 to 1 Year Old,1st   of 4 Floors,Semifurnished,,1 Covered,"['Lift(s)', 'Swimming Pool', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center']"
5,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-smart-world-gems-sector-89-gurgaon-1196-sq-ft-spid-H81479107,"Smart World Gems
Sector 89, Gurgaon",1.26 Cr,1698.32,2 Bedrooms,2 Bathrooms,2 Balconies,,0 to 1 Year Old,1st   of 4 Floors,Unfurnished,,1 Covered,"['Power Back-up', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Piped-gas', 'Fitness Centre / GYM', 'Club house / Community Center']"
7,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-pyramid-elite-sector-86-gurgaon-582-sq-ft-spid-X81448305,"Pyramid Elite
Sector 86, Gurgaon",75 Lac,826.4399999999999,2 Bedrooms,2 Bathrooms,2 Balconies,,0 to 1 Year Old,11st   of 14 Floors,Unfurnished,,,"['Power Back-up', 'Lift(s)', 'Park', 'Shopping Centre', 'Club house / Community Center']"
8,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-rof-aalayas-sector-102-gurgaon-482-sq-ft-spid-Y81475319,"ROF Aalayas
Sector 102, Gurgaon",52 Lac,607.76,2 Bedrooms,2 Bathrooms,1 Balcony,,1 to 5 Year Old,6th   of 14 Floors,Semifurnished,,,"['Power Back-up', 'Intercom Facility', 'Lift(s)', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center']"
9,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-bptp-spacio-sector-37d-gurgaon-1800-sq-ft-spid-C81474611,"BPTP Spacio
Sector 37D, Gurgaon",2 Cr,1800.0,3 Bedrooms,4 Bathrooms,3 Balconies,"Study Room,Servant Room",1 to 5 Year Old,1st   of 19 Floors,Semifurnished,,"1 Covered, 1 Open","['Power Back-up', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Piped-gas', 'Fitness Centre / GYM', 'Club house / Community Center']"
10,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-pareena-mi-casa-sector-68-gurgaon-865-sq-ft-spid-L81474117,"Pareena Mi Casa
Sector 68, Gurgaon",99 Lac,865.0,2 Bedrooms,1 Bathroom,2 Balconies,,Within 3 months,23rd   of 25 Floors,Unfurnished,East,"1 Covered, 1 Open","['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Park', 'Piped-gas', 'Security Personnel', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']"
